Date,Open,High,Low,Close,Adj Close,Volume
2010-03-11,0.642500,0.660500,0.642500,0.660500,0.611174,3702000
2010-03-12,0.661000,0.665333,0.644167,0.644167,0.596061,4548000
2010-03-15,0.631167,0.638000,0.614167,0.623833,0.577245,534000
2010-03-16,0.631667,0.675167,0.630667,0.674500,0.624128,1260000
2010-03-17,0.700000,0.707000,0.686167,0.698833,0.646644,2610000
2010-03-18,0.698833,0.700833,0.672167,0.681833,0.630914,1584000
2010-03-19,0.673333,0.673667,0.639667,0.650833,0.602229,1596000
2010-03-22,0.638000,0.700333,0.634333,0.697833,0.645719,3804000
2010-03-23,0.707667,0.745500,0.707333,0.742833,0.687358,6114000
2010-03-24,0.735667,0.735667,0.698000,0.701667,0.649266,2034000
2010-03-25,0.732000,0.742500,0.697500,0.698167,0.646028,2034000
2010-03-26,0.716833,0.720500,0.673500,0.687167,0.635849,2322000
2010-03-29,0.709333,0.713667,0.700667,0.705667,0.652968,1380000
2010-03-30,0.716667,0.726667,0.698167,0.719167,0.665459,1920000
2010-03-31,0.724667,0.730000,0.704167,0.708000,0.655127,1080000
2010-04-01,0.727833,0.757167,0.698500,0.710333,0.657285,1644000
2010-04-05,0.737333,0.773333,0.690167,0.770500,0.712959,1500000
2010-04-06,0.755833,0.769667,0.747167,0.758833,0.702163,1998000
2010-04-07,0.762833,0.782167,0.741833,0.766333,0.709103,3414000
2010-04-08,0.752500,0.752500,0.714667,0.739167,0.683966,4470000
2010-04-09,0.747667,0.759167,0.730667,0.758833,0.702163,1254000
2010-04-12,0.770333,0.797500,0.761167,0.777833,0.719744,2400000
2010-04-13,0.782167,0.796667,0.772167,0.792833,0.733624,2904000
2010-04-14,0.842000,0.897667,0.842000,0.894833,0.828007,6504000
2010-04-15,0.910833,0.923167,0.892333,0.902500,0.835101,12666000
2010-04-16,0.891667,0.891667,0.828500,0.869167,0.804257,4452000
2010-04-19,0.840000,0.865500,0.791833,0.839833,0.777114,5712000
2010-04-20,0.864333,0.886667,0.858333,0.880500,0.814744,2922000
2010-04-21,0.886667,0.906167,0.814000,0.853000,0.789298,5772000
2010-04-22,0.836333,0.904000,0.797333,0.901167,0.833868,6594000
2010-04-23,0.916000,0.916000,0.868667,0.905167,0.837569,3600000
2010-04-26,0.913333,0.938000,0.906833,0.913167,0.844971,3846000
2010-04-27,0.875000,0.906500,0.816000,0.818667,0.757529,5112000
2010-04-28,0.835333,0.879167,0.793500,0.835000,0.772642,6864000
2010-04-29,0.835333,0.866667,0.825500,0.863667,0.799168,5838000
2010-04-30,0.841667,0.841667,0.745333,0.747167,0.691368,10104000
2010-05-03,0.757667,0.814000,0.757667,0.802167,0.742261,4926000
2010-05-04,0.785500,0.785500,0.661333,0.696000,0.644023,19164000
2010-05-05,0.685000,0.705833,0.641500,0.673667,0.623357,7920000
2010-05-06,0.666667,0.695667,0.416667,0.616333,0.570305,17448000
2010-05-07,0.600000,0.618167,0.514333,0.578833,0.535606,12372000
2010-05-10,0.680000,0.682667,0.646833,0.680000,0.629218,7206000
2010-05-11,0.643667,0.702500,0.635500,0.667000,0.617188,27720000
2010-05-12,0.678000,0.724667,0.678000,0.721167,0.667310,42330000
2010-05-13,0.701833,0.730833,0.655500,0.664667,0.615030,28992000
2010-05-14,0.649000,0.649000,0.567667,0.604000,0.558893,15846000
2010-05-17,0.591167,0.634833,0.570000,0.629000,0.582026,19140000
2010-05-18,0.644500,0.655333,0.569167,0.577667,0.534527,16128000
2010-05-19,0.574833,0.604167,0.546667,0.586833,0.543008,21306000
2010-05-20,0.541667,0.576167,0.504333,0.539000,0.498747,10638000
2010-05-21,0.516667,0.599000,0.503833,0.574167,0.531288,11220000
2010-05-24,0.562833,0.584833,0.540333,0.540333,0.499981,10944000
2010-05-25,0.494333,0.552667,0.475000,0.552500,0.511239,10818000
2010-05-26,0.580333,0.603667,0.546500,0.549667,0.508618,14250000
2010-05-27,0.592333,0.634167,0.584000,0.633333,0.586036,10578000
2010-05-28,0.640667,0.640667,0.577167,0.602833,0.557813,9288000
2010-06-01,0.599000,0.621167,0.561833,0.561833,0.519875,4530000
2010-06-02,0.581833,0.622500,0.564167,0.621833,0.575394,11094000
2010-06-03,0.633000,0.653000,0.615000,0.645667,0.597448,9102000
2010-06-04,0.629000,0.630500,0.552500,0.561667,0.519722,13650000
2010-06-07,0.569833,0.578000,0.495000,0.499000,0.461735,18312000
2010-06-08,0.501833,0.504167,0.456833,0.493500,0.456645,12504000
2010-06-09,0.507000,0.538500,0.477500,0.483667,0.447547,8634000
2010-06-10,0.509333,0.538667,0.501500,0.536833,0.496742,9504000
2010-06-11,0.518000,0.562167,0.513333,0.559833,0.518025,6510000
2010-06-14,0.586833,0.602500,0.569167,0.570500,0.527895,6924000
2010-06-15,0.583333,0.669667,0.583333,0.665500,0.615800,14508000
2010-06-16,0.651333,0.689667,0.634000,0.674667,0.624283,14226000
2010-06-17,0.688000,0.689500,0.636167,0.670333,0.620272,8724000
2010-06-18,0.673500,0.682500,0.656667,0.665833,0.616109,4656000
2010-06-21,0.695667,0.713167,0.636000,0.648167,0.599762,9054000
2010-06-22,0.651333,0.677000,0.608333,0.614000,0.568146,9888000
2010-06-23,0.620000,0.642500,0.586500,0.619333,0.573081,8076000
2010-06-24,0.608500,0.610667,0.557833,0.565333,0.523114,11754000
2010-06-25,0.571833,0.573500,0.536667,0.567167,0.524811,8718000
2010-06-28,0.561500,0.592333,0.552833,0.573833,0.530979,4248000
2010-06-29,0.544667,0.544667,0.485833,0.495667,0.458651,23970000
2010-06-30,0.498500,0.514667,0.467667,0.471667,0.436443,10842000
2010-07-01,0.475000,0.486333,0.434500,0.473500,0.438139,10716000
2010-07-02,0.474500,0.481500,0.444333,0.467667,0.432742,7032000
2010-07-06,0.495667,0.505000,0.454833,0.466833,0.431970,24060000
2010-07-07,0.467000,0.541000,0.467000,0.540167,0.499827,13650000
2010-07-08,0.560167,0.560167,0.510667,0.536167,0.496126,14706000
2010-07-09,0.538500,0.556333,0.527167,0.554667,0.513244,7512000
2010-07-12,0.557333,0.582167,0.551000,0.575833,0.532830,8718000
2010-07-13,0.596667,0.618667,0.586333,0.612833,0.567067,11688000
2010-07-14,0.640000,0.646667,0.595333,0.607167,0.561824,16902000
2010-07-15,0.599000,0.605667,0.568000,0.599333,0.554575,11166000
2010-07-16,0.588333,0.592333,0.541333,0.542333,0.501831,7878000
2010-07-19,0.559500,0.585500,0.547167,0.583333,0.539770,7908000
2010-07-20,0.539500,0.585167,0.519667,0.585000,0.541312,14142000
2010-07-21,0.596167,0.596167,0.545667,0.549500,0.508463,10890000
2010-07-22,0.558333,0.611667,0.558333,0.599833,0.555038,10308000
2010-07-23,0.595000,0.615500,0.579833,0.611333,0.565678,7092000
2010-07-26,0.611667,0.636833,0.593167,0.633333,0.586036,8622000
2010-07-27,0.647167,0.647167,0.612333,0.620333,0.574007,10470000
2010-07-28,0.612500,0.626500,0.578333,0.588167,0.544243,17106000
2010-07-29,0.594833,0.596000,0.530167,0.552500,0.511239,24666000
2010-07-30,0.539667,0.545667,0.507667,0.535167,0.495201,13908000
2010-08-02,0.562167,0.571667,0.542167,0.563500,0.521418,19812000
2010-08-03,0.563667,0.564833,0.532333,0.546500,0.505687,11742000
2010-08-04,0.548333,0.564167,0.532333,0.562500,0.520492,8508000
2010-08-05,0.559333,0.567000,0.543333,0.549000,0.508001,7224000
2010-08-06,0.538833,0.561000,0.529167,0.549667,0.508618,7914000
2010-08-09,0.553667,0.566667,0.540000,0.558667,0.516946,7584000
2010-08-10,0.541667,0.541667,0.500833,0.515833,0.477311,18732000
2010-08-11,0.482667,0.483167,0.440667,0.453667,0.419787,30720000
2010-08-12,0.421500,0.441500,0.406667,0.435500,0.402977,27768000
2010-08-13,0.437667,0.449500,0.421500,0.422333,0.390793,9888000
2010-08-16,0.418333,0.439833,0.408333,0.426667,0.394803,15528000
2010-08-17,0.443167,0.458000,0.433500,0.443000,0.409917,14430000
2010-08-18,0.447000,0.464500,0.438167,0.457833,0.423642,10218000
2010-08-19,0.452500,0.459333,0.428833,0.434833,0.402360,11196000
2010-08-20,0.438833,0.452833,0.430667,0.439833,0.406986,8682000
2010-08-23,0.452333,0.454333,0.423833,0.424333,0.392644,15390000
2010-08-24,0.407333,0.416667,0.393167,0.402833,0.372749,13998000
2010-08-25,0.397167,0.420167,0.382500,0.415000,0.384008,19578000
2010-08-26,0.422333,0.424667,0.387000,0.391333,0.362108,15816000
2010-08-27,0.403167,0.419167,0.371333,0.414667,0.383700,22824000
2010-08-30,0.408667,0.414167,0.384000,0.384667,0.355940,11874000
2010-08-31,0.381667,0.389500,0.354833,0.360167,0.333270,17046000
2010-09-01,0.374833,0.405500,0.374833,0.393667,0.364268,21294000
