Date,Action,Open,High,Low,Close,Stage,Prev Close,Price,Threshold Buy Price,Threshold Sell Price,Shares to trade,Total Shares,Total Cash,Total Capital (Cash + Shares),Price(buy),Price(sell)
2017-01-04,HOLD,3.86,3.9,3.79,3.85,0,3.81,3.85,3.66,4.08,0.0,0.0,32000.0,32000.0,,
2017-01-05,HOLD,3.86,3.91,3.72,3.74,0,3.85,3.74,3.69,4.12,0.0,0.0,32000.0,32000.0,,
2017-01-06,HOLD,3.77,3.86,3.69,3.83,0,3.74,3.83,3.59,4.0,0.0,0.0,32000.0,32000.0,,
2017-01-09,HOLD,3.87,4.0,3.87,3.95,0,3.83,3.95,3.68,4.1,0.0,0.0,32000.0,32000.0,,
2017-01-10,HOLD,3.95,4.04,3.95,4.01,0,3.95,4.01,3.8,4.23,0.0,0.0,32000.0,32000.0,,
2017-01-11,HOLD,4.0,4.05,3.96,4.05,0,4.01,4.05,3.85,4.3,0.0,0.0,32000.0,32000.0,,
2017-01-12,BUY,4.03,4.03,3.77,3.95,0,4.05,3.89,3.89,4.34,265.0,265.0,30969.0,32015.22,3.89,
2017-01-13,HOLD,3.96,4.06,3.95,4.02,1,3.95,4.02,3.79,4.22,0.0,265.0,30969.0,32035.01,,
2017-01-17,BUY,3.99,3.99,3.79,3.83,1,4.02,3.86,3.86,4.3,265.0,530.0,29945.64,31975.18,3.86,
2017-01-18,HOLD,3.84,4.0,3.84,3.99,2,3.83,3.99,3.68,4.1,0.0,530.0,29945.64,32059.98,,
2017-01-19,HOLD,3.93,4.07,3.93,3.93,2,3.99,3.93,3.83,4.27,0.0,530.0,29945.64,32031.01,,
2017-01-20,HOLD,4.04,4.16,4.03,4.09,2,3.93,4.09,3.78,4.21,0.0,530.0,29945.64,32111.92,,
2017-01-23,BUY,4.03,4.07,3.91,4.01,2,4.09,3.92,3.92,4.37,530.0,1060.0,27866.0,32113.07,3.92,
2017-01-24,HOLD,4.05,4.26,4.05,4.24,3,4.01,4.24,3.85,4.29,0.0,1060.0,27866.0,32365.35,,
2017-01-25,HOLD,4.41,4.46,4.31,4.43,3,4.24,4.43,4.07,4.54,0.0,1060.0,27866.0,32563.21,,
2017-01-26,HOLD,4.45,4.46,4.3,4.35,3,4.43,4.35,4.25,4.74,0.0,1060.0,27866.0,32481.24,,
2017-01-27,HOLD,4.42,4.52,4.42,4.52,3,4.35,4.52,4.18,4.66,0.0,1060.0,27866.0,32656.49,,
2017-01-30,BUY,4.45,4.45,4.28,4.45,3,4.52,4.34,4.34,4.84,1060.0,2120.0,23267.13,32695.47,4.34,
2017-01-31,BUY,4.37,4.38,4.19,4.27,4,4.45,4.27,4.27,4.76,2120.0,4240.0,14215.91,32337.67,4.27,
2017-02-01,HOLD,4.44,4.49,4.35,4.48,5,4.27,4.48,4.1,4.57,0.0,4240.0,14215.91,33199.81,,
2017-02-02,HOLD,4.39,4.52,4.31,4.47,5,4.48,4.47,4.3,4.79,0.0,4240.0,14215.91,33151.75,,
2017-02-03,HOLD,4.53,4.56,4.49,4.54,5,4.47,4.54,4.29,4.78,0.0,4240.0,14215.91,33479.65,,
2017-02-06,HOLD,4.58,4.6,4.49,4.59,5,4.54,4.59,4.36,4.86,0.0,4240.0,14215.91,33680.34,,
2017-02-07,HOLD,4.67,4.69,4.56,4.64,5,4.59,4.64,4.41,4.91,0.0,4240.0,14215.91,33895.17,,
2017-02-08,HOLD,4.69,4.72,4.59,4.66,5,4.64,4.66,4.46,4.97,0.0,4240.0,14215.91,33991.27,,
2017-02-09,HOLD,4.69,4.69,4.52,4.54,5,4.66,4.54,4.48,4.99,0.0,4240.0,14215.91,33473.99,,
2017-02-10,HOLD,4.64,4.64,4.4,4.53,5,4.54,4.53,4.36,4.86,0.0,4240.0,14215.91,33428.77,,
2017-02-13,HOLD,4.58,4.66,4.54,4.56,5,4.53,4.56,4.35,4.85,0.0,4240.0,14215.91,33564.45,,
2017-02-14,HOLD,4.55,4.56,4.44,4.52,5,4.56,4.52,4.38,4.88,0.0,4240.0,14215.91,33360.93,,
2017-02-15,HOLD,4.54,4.64,4.49,4.63,5,4.52,4.63,4.33,4.83,0.0,4240.0,14215.91,33838.63,,
