Date,Action,Open,High,Low,Close,Stage,Prev Close,Price,Threshold Buy Price,Threshold Sell Price,Shares to trade,Total Shares,Total Cash,Total Capital (Cash + Shares),Price(buy),Price(sell)
2020-01-03,HOLD,18.5,18.89,18.27,18.41,0,19.46,18.41,18.1,21.22,0.0,0.0,16000.0,16000.0,,
2020-01-06,HOLD,17.73,18.0,17.43,17.83,0,18.41,17.83,17.12,20.07,0.0,0.0,16000.0,16000.0,,
2020-01-07,HOLD,18.4,19.01,18.12,18.75,0,17.83,18.75,16.58,19.43,0.0,0.0,16000.0,16000.0,,
2020-01-08,HOLD,18.83,19.12,18.49,18.79,0,18.75,18.79,17.44,20.44,0.0,0.0,16000.0,16000.0,,
2020-01-09,HOLD,19.47,19.48,18.55,19.11,0,18.79,19.11,17.47,20.48,0.0,0.0,16000.0,16000.0,,
2020-01-10,HOLD,19.38,19.38,18.58,18.72,0,19.11,18.72,17.78,20.83,0.0,0.0,16000.0,16000.0,,
2020-01-13,HOLD,19.13,19.5,18.92,19.46,0,18.72,19.46,17.41,20.41,0.0,0.0,16000.0,16000.0,,
2020-01-14,HOLD,19.47,20.02,19.22,19.58,0,19.46,19.58,18.1,21.21,0.0,0.0,16000.0,16000.0,,
2020-01-15,HOLD,19.57,19.62,18.67,18.88,0,19.58,18.88,18.21,21.35,0.0,0.0,16000.0,16000.0,,
2020-01-16,HOLD,19.34,19.82,19.3,19.82,0,18.88,19.82,17.56,20.58,0.0,0.0,16000.0,16000.0,,
2020-01-17,HOLD,20.08,20.24,19.75,20.21,0,19.82,20.21,18.44,21.61,0.0,0.0,16000.0,16000.0,,
2020-01-21,HOLD,19.96,20.4,19.93,20.17,0,20.21,20.17,18.79,22.03,0.0,0.0,16000.0,16000.0,,
2020-01-22,HOLD,20.63,21.29,20.47,20.65,0,20.17,20.65,18.76,21.99,0.0,0.0,16000.0,16000.0,,
2020-01-23,HOLD,20.89,21.13,20.25,21.12,0,20.65,21.12,19.21,22.51,0.0,0.0,16000.0,16000.0,,
2020-01-24,HOLD,21.95,22.07,19.96,20.41,0,21.12,20.41,19.64,23.02,0.0,0.0,16000.0,16000.0,,
2020-01-27,BUY,18.59,18.8,17.94,18.04,0,20.41,18.37,18.98,22.25,28.0,28.0,15485.72,15990.88,18.37,
2020-01-28,HOLD,18.73,19.5,18.33,19.33,1,18.04,19.33,16.78,19.67,0.0,28.0,15485.72,16027.04,,
2020-01-29,HOLD,19.12,19.24,18.2,18.27,1,19.33,18.27,17.98,21.07,0.0,28.0,15485.72,15997.19,,
2020-01-30,HOLD,17.9,18.37,17.14,18.2,1,18.27,18.2,16.99,19.91,0.0,28.0,15485.72,15995.29,,
2020-01-31,BUY,17.76,17.78,16.03,16.24,1,18.2,16.92,16.92,19.84,28.0,56.0,15011.83,15921.31,16.92,
2020-02-03,HOLD,16.47,16.94,16.4,16.86,2,16.24,16.86,15.1,17.7,0.0,56.0,15011.83,15956.03,,
2020-02-04,SELL,18.14,18.47,17.89,18.43,2,16.86,18.38,15.68,18.38,28.0,28.0,15526.42,16042.55,,18.38
2020-02-05,HOLD,19.41,19.72,18.83,19.64,0,18.43,19.64,17.14,20.09,0.0,28.0,15526.42,16076.34,,
2020-02-06,HOLD,19.7,19.72,18.95,19.65,0,19.64,19.65,18.27,21.41,0.0,28.0,15526.42,16076.69,,
2020-02-07,BUY,19.07,19.15,18.23,18.27,0,19.65,18.28,18.28,21.42,27.0,55.0,15032.94,16037.57,18.28,
2020-02-10,HOLD,17.84,19.09,17.83,19.09,1,18.27,19.09,16.99,19.91,0.0,55.0,15032.94,16083.07,,
2020-02-11,HOLD,19.61,20.54,19.6,20.24,1,19.09,20.24,17.76,20.81,0.0,55.0,15032.94,16146.1,,
2020-02-12,HOLD,20.89,21.23,20.8,21.13,1,20.24,21.13,18.82,22.06,0.0,55.0,15032.94,16195.02,,
